电视公告,#genre#
CCTV风云音乐,http://116.179.130.120:6000/rtp/226.0.2.220:9672
CCTV世界地理,http://116.179.130.120:6000/rtp/226.0.2.222:9688
CCTV兵器科技,http://116.179.130.120:6000/rtp/226.0.2.223:9696
CCTV风云足球,http://116.179.130.120:6000/rtp/226.0.2.225:9712
CCTV女性时尚,http://116.179.130.120:6000/rtp/226.0.2.226:9720
CCTV第一剧场,http://116.179.130.120:6000/rtp/226.0.2.221:9680
CCTV怀旧剧场,http://116.179.130.120:6000/rtp/226.0.2.224:9704
CCTV风云剧场,http://116.179.130.120:6000/rtp/226.0.2.227:9728
湖南卫视,http://116.179.130.120:6000/rtp/226.0.2.143:9056
浙江卫视,http://116.179.130.120:6000/rtp/226.0.2.144:9064
安徽卫视,http://116.179.130.120:6000/rtp/226.0.2.145:9072
广东卫视,http://116.179.130.120:6000/rtp/226.0.2.146:9080
深圳卫视,http://116.179.130.120:6000/rtp/226.0.2.147:9088
天津卫视,http://116.179.130.120:6000/rtp/226.0.2.148:9096
山东卫视,http://116.179.130.120:6000/rtp/226.0.2.149:9104
湖北卫视,http://116.179.130.120:6000/rtp/226.0.2.150:9112
黑龙江卫视,http://116.179.130.120:6000/rtp/226.0.2.151:9120
山西卫视,http://116.179.130.120:6000/rtp/226.0.2.152:9128
辽宁卫视,http://116.179.130.120:6000/rtp/226.0.2.173:9296
重庆卫视,http://116.179.130.120:6000/rtp/226.0.2.174:9304
东方卫视,http://116.179.130.120:6000/rtp/226.0.2.175:9312
江苏卫视,http://116.179.130.120:6000/rtp/226.0.2.176:9320
北京卫视,http://116.179.130.120:6000/rtp/226.0.2.177:9328
河北卫视,http://116.179.130.120:6000/rtp/226.0.2.178:9336
四川卫视,http://116.179.130.120:6000/rtp/226.0.2.179:9344
贵州卫视,http://116.179.130.120:6000/rtp/226.0.2.180:9352
湖南卫视,http://116.179.130.120:6000/rtp/226.0.2.33:8176
东方卫视,http://116.179.130.120:6000/rtp/226.0.2.34:8184
辽宁卫视,http://116.179.130.120:6000/rtp/226.0.2.35:8192
浙江卫视,http://116.179.130.120:6000/rtp/226.0.2.36:8200
安徽卫视,http://116.179.130.120:6000/rtp/226.0.2.37:8208
江苏卫视,http://116.179.130.120:6000/rtp/226.0.2.38:8216
北京卫视,http://116.179.130.120:6000/rtp/226.0.2.39:8224
东南卫视,http://116.179.130.120:6000/rtp/226.0.2.40:8232
四川卫视,http://116.179.130.120:6000/rtp/226.0.2.42:8248
贵州卫视,http://116.179.130.120:6000/rtp/226.0.2.43:8256
广东卫视,http://116.179.130.120:6000/rtp/226.0.2.45:8272
广西卫视,http://116.179.130.120:6000/rtp/226.0.2.46:8280
深圳卫视,http://116.179.130.120:6000/rtp/226.0.2.47:8288
黑龙江卫视,http://116.179.130.120:6000/rtp/226.0.2.48:8296
湖北卫视,http://116.179.130.120:6000/rtp/226.0.2.49:8304
重庆卫视,http://116.179.130.120:6000/rtp/226.0.2.50:8312
山东卫视,http://116.179.130.120:6000/rtp/226.0.2.51:8320
河南卫视,http://116.179.130.120:6000/rtp/226.0.2.52:8328
陕西卫视,http://116.179.130.120:6000/rtp/226.0.2.53:8336
江西卫视,http://116.179.130.120:6000/rtp/226.0.2.54:8344
甘肃卫视,http://116.179.130.120:6000/rtp/226.0.2.55:8352
天津卫视,http://116.179.130.120:6000/rtp/226.0.2.56:8360
吉林卫视,http://116.179.130.120:6000/rtp/226.0.2.58:8376
青海卫视,http://116.179.130.120:6000/rtp/226.0.2.59:8384
云南卫视,http://116.179.130.120:6000/rtp/226.0.2.60:8392
海南卫视,http://116.179.130.120:6000/rtp/226.0.2.61:8400
兵团卫视,http://116.179.130.120:6000/rtp/226.0.2.62:8408
内蒙古卫视,http://116.179.130.120:6000/rtp/226.0.2.63:8416
宁夏卫视,http://116.179.130.120:6000/rtp/226.0.2.64:8424
河北卫视,http://116.179.130.120:6000/rtp/226.0.2.65:8432
西藏卫视,http://116.179.130.120:6000/rtp/226.0.2.66:8440
新疆卫视,http://116.179.130.120:6000/rtp/226.0.2.67:8448
东南卫视,http://116.179.130.120:6000/rtp/226.0.2.188:9416
河南卫视,http://116.179.130.120:6000/rtp/226.0.2.195:9472
江西卫视,http://116.179.130.120:6000/rtp/226.0.2.198:9496
吉林卫视,http://116.179.130.120:6000/rtp/226.0.2.199:9504
海南卫视,http://116.179.130.120:6000/rtp/226.0.2.212:9608
广西卫视,http://116.179.130.120:6000/rtp/226.0.2.231:9760
CETV1,http://116.179.130.120:6000/rtp/226.0.2.68:8456
CETV2,http://116.179.130.120:6000/rtp/226.0.2.69:8464
CETV4,http://116.179.130.120:6000/rtp/226.0.2.70:8472
CHC影迷电影,http://116.179.130.120:6000/rtp/226.0.2.93:8004
CHC家庭影院,http://116.179.130.120:6000/rtp/226.0.2.240:9820
CHC动作影院,http://116.179.130.120:6000/rtp/226.0.2.94:8012
咪咕频道,#genre#
CCTV-01咪咕,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-02咪咕,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-03咪咕,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-04咪咕,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-05咪咕,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+咪咕,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-06咪咕,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-07咪咕,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-08咪咕,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-09咪咕,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10咪咕,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11咪咕,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12咪咕,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13咪咕,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14咪咕,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15咪咕,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-17咪咕,http://z.b.bkpcp.top/m.php?id=cctv17
cct4欧洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4o
cct4美洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4m
家庭影院咪咕,http://z.b.bkpcp.top/m.php?id=jtyy
东方影视咪咕,http://z.b.bkpcp.top/m.php?id=shys
陕西卫视咪咕,http://z.b.bkpcp.top/m.php?id=sxws
湖北卫视咪咕,http://z.b.bkpcp.top/m.php?id=hubws
江西卫视咪咕,http://z.b.bkpcp.top/m.php?id=jxws
江苏卫视咪咕,http://z.b.bkpcp.top/m.php?id=jsws
广东卫视咪咕,http://z.b.bkpcp.top/m.php?id=gdws
游戏风云咪咕,http://z.b.bkpcp.top/m.php?id=yxfy
七彩戏剧咪咕,http://z.b.bkpcp.top/m.php?id=qcxj
欢笑剧场咪咕,http://z.b.bkpcp.top/m.php?id=hxjc
劲爆体育咪咕,http://z.b.bkpcp.top/m.php?id=jbty
魅力足球咪咕,http://z.b.bkpcp.top/m.php?id=mlzq
卫视频道,#genre#
北京卫视,http://huaqiao.9966.org:9901/tsfile/live/0122_1.m3u8?key=txiptv#http://live.nctv.top/IQRy0ie/bjtv.php?id=bjws#http://tvpull.careryun.com/tv/cn_bjws.m3u8
东方卫视,http://huaqiao.9966.org:9901/tsfile/live/0107_1.m3u8?key=txiptv#https://www.freetv.top/migu/651632648.m3u8?migutoken=e765bb663396911e0fa027f64c4378a4811b733586444461515451642f01e401c61987a7256405e562f272d4a45cf003c8974fd47f47765203988df87102570687a04fcdd402aa62918f1cad2f
江苏卫视,http://183.255.10.90:6610/200000001898/460000089800010059/1.m3u8?IASHttpSessionId=OTT#https://www.freetv.top/migu/623899368.m3u8?migutoken=89adf8885d4f1f9dee34a4e8d60f187e5b071ac9b79001260a0b66da9027070e0b861510da93cb5190da002ca87645e63e57bada2c65f959e8ef81f693c239f194d683ba2083252bbb0caeab96
东南卫视,http://183.255.10.90:6610/200000001898/460000089800010096/1.m3u8?IASHttpSessionId=OTT
云南卫视,http://183.255.10.90:6610/200000001898/460000089800010119/1.m3u8?IASHttpSessionId=OTT
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
东方卫视,http://huaqiao.9966.org:9901/tsfile/live/0107_1.m3u8?key=txiptv#http://goo.bkpcp.top/mg/dfws#http://tvpull.careryun.com/tv/dfws.m3u8
广东卫视,http://huaqiao.9966.org:9901/tsfile/live/0125_1.m3u8?key=txiptv#http://tvpull.careryun.com/tv/gdws.m3u8
深圳卫视,http://huaqiao.9966.org:9901/tsfile/live/0126_1.m3u8?key=txiptv#http://tvpull.careryun.com/tv/cn_szws.m3u8
重庆卫视,http://huaqiao.9966.org:9901/tsfile/live/0142_1.m3u8?key=txiptv
辽宁卫视,http://huaqiao.9966.org:9901/tsfile/live/0121_1.m3u8?key=txiptv
山东卫视,http://huaqiao.9966.org:9901/tsfile/live/0131_1.m3u8?key=txiptv
湖北卫视,http://tvpull.careryun.com/tv/hbws.m3u8
湖南卫视,http://huaqiao.9966.org:9901/tsfile/live/0128_1.m3u8?key=txiptv#http://tvpull.careryun.com/tv/cn_hunws.m3u8
河南卫视,http://live.nctv.top/IQRy0ie/hntv.php?id=hnws
河北卫视,http://vapi.91kds.cc/live1/hetv.m3u8?id=hews&apiKey=a46d73db64b0792b90f2463d19bcc06a
江西卫视,http://local-live.jxtvcn.com.cn/live/tv_jxtv1.flv#http://tvpull.careryun.com/tv/jxws.m3u8#http://goo.bkpcp.top/mg/jxws#
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
广西卫视,http://183.255.10.90:6610/200000001898/460000089800010099/1.m3u8?IASHttpSessionId=OTT#http://tvpull.careryun.com/tv/cn_gxws.m3u8
北京卫视,http://nas.ikuai1981.top:5027/TVOD/6000000001000020451/wasusyt/index.m3u8
北京纪实科教,http://nas.ikuai1981.top:5027/TVOD/1000000001000001910/ystenlive/index.m3u8
东方卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000014098/bestzb/index.m3u8
湖南卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000006692/bestzb/index.m3u8
浙江卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000007275/bestzb/index.m3u8
江苏卫视,http://nas.ikuai1981.top:5027/TVOD/6000000001000014861/wasusyt/index.m3u8
天津卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000006827/bestzb/index.m3u8
云南卫视,http://nas.ikuai1981.top:5027/TVOD/5000000011000031120/bestzb/index.m3u8
重庆卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000025797/bestzb/index.m3u8
四川卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000006119/bestzb/index.m3u8
贵州卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000025843/bestzb/index.m3u8
广西卫视,http://nas.ikuai1981.top:5027/TVOD/5000000011000031118/bestzb/index.m3u8
广东卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000014694/bestzb/index.m3u8
广东珠江,http://nas.ikuai1981.top:5027/TVOD/2000000003000000033/hnbblive/index.m3u8
深圳卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000007410/bestzb/index.m3u8
东南卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000010584/bestzb/index.m3u8
海南卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000006211/bestzb/index.m3u8
湖北卫视,http://nas.ikuai1981.top:5027/TVOD/6000000001000015436/wasusyt/index.m3u8
安徽卫视,http://nas.ikuai1981.top:5027/TVOD/6000000001000009954/wasusyt/index.m3u8
山东卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000020424/bestzb/index.m3u8
辽宁卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000011671/bestzb/index.m3u8
吉林卫视,http://nas.ikuai1981.top:5027/TVOD/5000000011000031117/bestzb/index.m3u8
江西卫视,http://nas.ikuai1981.top:5027/TVOD/5000000004000011210/bestzb/index.m3u8
河北卫视,http://nas.ikuai1981.top:5027/TVOD/5000000006000040016/bestzb/index.m3u8
河南卫视,http://nas.ikuai1981.top:5027/TVOD/5000000011000031119/bestzb/index.m3u8
甘肃卫视,http://nas.ikuai1981.top:5027/TVOD/5000000011000031121/bestzb/index.m3u8
青海卫视,http://nas.ikuai1981.top:5027/TVOD/1000000002000013359/ystenlive/index.m3u8
山西卫视,http://nas.ikuai1981.top:5027/TVOD/5000000006000040023/bestzb/index.m3u8
陕西卫视,http://nas.ikuai1981.top:5027/TVOD/1000000002000007495/ystenlive/index.m3u8
宁夏卫视,http://nas.ikuai1981.top:5027/TVOD/5000000006000040022/bestzb/index.m3u8
新疆卫视,http://nas.ikuai1981.top:5027/TVOD/1000000002000029441/ystenlive/index.m3u8
内蒙古卫视,http://nas.ikuai1981.top:5027/TVOD/1000000002000014080/ystenlive/index.m3u8
西藏卫视,http://nas.ikuai1981.top:5027/TVOD/1000000002000015894/ystenlive/index.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
纪实人文,http://nas.ikuai1981.top:5027/TVOD/5000000004000010282/bestzb/index.m3u8
黑龙江卫视,http://nas.ikuai1981.top:5027/TVOD/6000000001000016510/wasusyt/index.m3u8
吉林延边卫视,http://nas.ikuai1981.top:5027/TVOD/2000000003000000049/hnbblive/index.m3u8
数字频道,#genre#
精品综合,http://59.57.148.94:35455/itv/1000000004000019008.m3u8?cdn=ystenlive
精品大剧,http://59.57.148.94:35455/itv/1000000004000013968.m3u8?cdn=ystenlive
精品纪录,http://59.57.148.94:35455/itv/1000000004000013730.m3u8?cdn=ystenlive
精品体育,http://59.57.148.94:35455/itv/1000000004000014634.m3u8?cdn=ystenlive
精品萌宠,http://59.57.148.94:35455/itv/1000000009099032328.m3u8?cdn=ystenlive
爱情喜剧,http://59.57.148.94:35455/itv/2000000003000000010.m3u8?cdn=hnbblive
超级电视,http://59.57.148.94:35455/itv/1000000009099269099.m3u8?cdn=ystenlive
超级电影,http://59.57.148.94:35455/itv/1000000003000012426.m3u8?cdn=ystenlive
超级体育,http://59.57.148.94:35455/itv/1000000001000009601.m3u8?cdn=ystenlive
超级综艺,http://59.57.148.94:35455/itv/1000000009099268002.m3u8?cdn=ystenlive
潮妈辣婆,http://59.57.148.94:35455/itv/2000000003000000018.m3u8?cdn=hnbblive
东北热剧,http://59.57.148.94:35455/itv/1000000005000266013.m3u8?cdn=ystenlive
动作电影,http://59.57.148.94:35455/itv/1000000004000018653.m3u8?cdn=ystenlive
古装剧场,http://59.57.148.94:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
欢乐剧场,http://59.57.148.94:35455/itv/1000000005000266012.m3u8?cdn=ystenlive
家庭剧场,http://59.57.148.94:35455/itv/1000000004000008284.m3u8?cdn=ystenlive
金牌综艺,http://59.57.148.94:35455/itv/1000000004000026167.m3u8?cdn=ystenlive
惊悚悬疑,http://59.57.148.94:35455/itv/1000000004000024282.m3u8?cdn=ystenlive
军旅剧场,http://59.57.148.94:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
军事评论,http://59.57.148.94:35455/itv/2000000003000000022.m3u8?cdn=hnbblive
魅力潇湘,http://59.57.148.94:35455/itv/1000000001000006197.m3u8?cdn=ystenlive
明星大片,http://59.57.148.94:35455/itv/2000000003000000016.m3u8?cdn=hnbblive
农业致富,http://59.57.148.94:35455/itv/2000000003000000003.m3u8?cdn=hnbblive
武博世界,http://59.57.148.94:35455/itv/2000000003000000007.m3u8?cdn=hnbblive
炫舞未来,http://59.57.148.94:35455/itv/1000000001000000515.m3u8?cdn=ystenlive
怡伴健康,http://59.57.148.94:35455/itv/1000000005000266011.m3u8?cdn=ystenlive
中国功夫,http://59.57.148.94:35455/itv/2000000003000000009.m3u8?cdn=hnbblive
黑莓电影,http://59.57.148.94:35455/itv/1000000004000019624.m3u8?cdn=ystenlive
黑莓动画,http://59.57.148.94:35455/itv/1000000004000021734.m3u8?cdn=ystenlive
哒啵电竞,http://59.57.148.94:35455/itv/1000000009099032327.m3u8?cdn=ystenlive
哒啵赛事,http://59.57.148.94:35455/itv/1000000001000003775.m3u8?cdn=ystenlive
动漫秀场,http://59.57.148.94:35455/itv/5000000011000031113.m3u8?cdn=bestzb
都市剧场,http://59.57.148.94:35455/itv/5000000011000031111.m3u8?cdn=bestzb
法治天地,http://59.57.148.94:35455/itv/9001547084732463424.m3u8?cdn=bestzb
欢笑剧场,http://59.57.148.94:35455/itv/5000000002000009455.m3u8?cdn=bestzb
欢笑剧4k,http://59.57.148.94:35455/itv/5000000007000010001.m3u8?cdn=bestzb
金色学堂,http://59.57.148.94:35455/itv/5000000010000026105.m3u8?cdn=bestzb
劲爆体育,http://59.57.148.94:35455/itv/5000000002000029972.m3u8?cdn=bestzb
乐游频道,http://59.57.148.94:35455/itv/5000000011000031112.m3u8?cdn=bestzb
魅力足球,http://59.57.148.94:35455/itv/5000000011000031207.m3u8?cdn=bestzb
七彩戏剧,http://59.57.148.94:35455/itv/5000000011000031116.m3u8?cdn=bestzb
生活时尚,http://59.57.148.94:35455/itv/5000000002000019634.m3u8?cdn=bestzb
游戏风云,http://59.57.148.94:35455/itv/5000000011000031114.m3u8?cdn=bestzb
睛彩青少,http://59.57.148.94:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive
睛彩竞技,http://59.57.148.94:35455/itv/2000000003000000060.m3u8?cdn=hnbblive
睛彩竞技,http://59.57.148.94:35455/itv/1000000009099270001.m3u8?cdn=ystenlive
睛彩篮球,http://59.57.148.94:35455/itv/2000000003000000061.m3u8?cdn=hnbblive
睛彩篮球,http://59.57.148.94:35455/itv/2000000003000000065.m3u8?cdn=hnbblive
睛彩篮球,http://59.57.148.94:35455/itv/1000000009099270002.m3u8?cdn=ystenlive
睛彩篮球,http://59.57.148.94:35455/itv/1000000009099270006.m3u8?cdn=ystenlive
睛彩广场,http://59.57.148.94:35455/itv/2000000003000000062.m3u8?cdn=hnbblive
睛彩广场,http://59.57.148.94:35455/itv/2000000003000000064.m3u8?cdn=hnbblive
睛彩广场,http://59.57.148.94:35455/itv/1000000009099270003.m3u8?cdn=ystenlive
睛彩广场,http://59.57.148.94:35455/itv/1000000009099270005.m3u8?cdn=ystenlive
求索动物,http://59.57.148.94:35455/itv/9099000002000010046.m3u8?cdn=wasusyt
求索纪录,http://59.57.148.94:35455/itv/9099000002000032052.m3u8?cdn=wasusyt
求索科学,http://59.57.148.94:35455/itv/9099000002000032344.m3u8?cdn=wasusyt
求索生活,http://59.57.148.94:35455/itv/9099000002000003382.m3u8?cdn=wasusyt
精品综合,http://nmmp.asia:35455/itv/1000000004000019008.m3u8?cdn=ystenlive
精品大剧,http://nmmp.asia:35455/itv/1000000004000013968.m3u8?cdn=ystenlive
精品纪录,http://nmmp.asia:35455/itv/1000000004000013730.m3u8?cdn=ystenlive
精品体育,http://nmmp.asia:35455/itv/1000000004000014634.m3u8?cdn=ystenlive
精品萌宠,http://nmmp.asia:35455/itv/1000000009099032328.m3u8?cdn=ystenlive
爱情喜剧,http://nmmp.asia:35455/itv/2000000003000000010.m3u8?cdn=hnbblive
超级电视,http://nmmp.asia:35455/itv/1000000009099269099.m3u8?cdn=ystenlive
超级电影,http://nmmp.asia:35455/itv/1000000003000012426.m3u8?cdn=ystenlive
超级体育,http://nmmp.asia:35455/itv/1000000001000009601.m3u8?cdn=ystenlive
超级综艺,http://nmmp.asia:35455/itv/1000000009099268002.m3u8?cdn=ystenlive
潮妈辣婆,http://nmmp.asia:35455/itv/2000000003000000018.m3u8?cdn=hnbblive
东北热剧,http://nmmp.asia:35455/itv/1000000005000266013.m3u8?cdn=ystenlive
动作电影,http://nmmp.asia:35455/itv/1000000004000018653.m3u8?cdn=ystenlive
古装剧场,http://nmmp.asia:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
欢乐剧场,http://nmmp.asia:35455/itv/1000000005000266012.m3u8?cdn=ystenlive
家庭剧场,http://nmmp.asia:35455/itv/1000000004000008284.m3u8?cdn=ystenlive
金牌综艺,http://nmmp.asia:35455/itv/1000000004000026167.m3u8?cdn=ystenlive
惊悚悬疑,http://nmmp.asia:35455/itv/1000000004000024282.m3u8?cdn=ystenlive
军旅剧场,http://nmmp.asia:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
军事评论,http://nmmp.asia:35455/itv/2000000003000000022.m3u8?cdn=hnbblive
魅力潇湘,http://nmmp.asia:35455/itv/1000000001000006197.m3u8?cdn=ystenlive
明星大片,http://nmmp.asia:35455/itv/2000000003000000016.m3u8?cdn=hnbblive
农业致富,http://nmmp.asia:35455/itv/2000000003000000003.m3u8?cdn=hnbblive
武博世界,http://nmmp.asia:35455/itv/2000000003000000007.m3u8?cdn=hnbblive
炫舞未来,http://nmmp.asia:35455/itv/1000000001000000515.m3u8?cdn=ystenlive
怡伴健康,http://nmmp.asia:35455/itv/1000000005000266011.m3u8?cdn=ystenlive
中国功夫,http://nmmp.asia:35455/itv/2000000003000000009.m3u8?cdn=hnbblive
黑莓电影,http://nmmp.asia:35455/itv/1000000004000019624.m3u8?cdn=ystenlive
黑莓动画,http://nmmp.asia:35455/itv/1000000004000021734.m3u8?cdn=ystenlive
哒啵电竞,http://nmmp.asia:35455/itv/1000000009099032327.m3u8?cdn=ystenlive
哒啵赛事,http://nmmp.asia:35455/itv/1000000001000003775.m3u8?cdn=ystenlive
动漫秀场,http://nmmp.asia:35455/itv/5000000011000031113.m3u8?cdn=bestzb
都市剧场,http://nmmp.asia:35455/itv/5000000011000031111.m3u8?cdn=bestzb
法治天地,http://nmmp.asia:35455/itv/9001547084732463424.m3u8?cdn=bestzb
欢笑剧场,http://nmmp.asia:35455/itv/5000000002000009455.m3u8?cdn=bestzb
欢笑剧4k,http://nmmp.asia:35455/itv/5000000007000010001.m3u8?cdn=bestzb
金色学堂,http://nmmp.asia:35455/itv/5000000010000026105.m3u8?cdn=bestzb
劲爆体育,http://nmmp.asia:35455/itv/5000000002000029972.m3u8?cdn=bestzb
乐游频道,http://nmmp.asia:35455/itv/5000000011000031112.m3u8?cdn=bestzb
魅力足球,http://nmmp.asia:35455/itv/5000000011000031207.m3u8?cdn=bestzb
七彩戏剧,http://nmmp.asia:35455/itv/5000000011000031116.m3u8?cdn=bestzb
生活时尚,http://nmmp.asia:35455/itv/5000000002000019634.m3u8?cdn=bestzb
游戏风云,http://nmmp.asia:35455/itv/5000000011000031114.m3u8?cdn=bestzb
睛彩青少,http://nmmp.asia:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive
睛彩竞技,http://nmmp.asia:35455/itv/2000000003000000060.m3u8?cdn=hnbblive
睛彩竞技,http://nmmp.asia:35455/itv/1000000009099270001.m3u8?cdn=ystenlive
睛彩篮球,http://nmmp.asia:35455/itv/2000000003000000061.m3u8?cdn=hnbblive
睛彩篮球,http://nmmp.asia:35455/itv/2000000003000000065.m3u8?cdn=hnbblive
睛彩篮球,http://nmmp.asia:35455/itv/1000000009099270002.m3u8?cdn=ystenlive
睛彩篮球,http://nmmp.asia:35455/itv/1000000009099270006.m3u8?cdn=ystenlive
睛彩广场,http://nmmp.asia:35455/itv/2000000003000000062.m3u8?cdn=hnbblive
睛彩广场,http://nmmp.asia:35455/itv/2000000003000000064.m3u8?cdn=hnbblive
睛彩广场,http://nmmp.asia:35455/itv/1000000009099270003.m3u8?cdn=ystenlive
睛彩广场,http://nmmp.asia:35455/itv/1000000009099270005.m3u8?cdn=ystenlive
求索动物,http://nmmp.asia:35455/itv/9099000002000010046.m3u8?cdn=wasusyt
求索纪录,http://nmmp.asia:35455/itv/9099000002000032052.m3u8?cdn=wasusyt
求索科学,http://nmmp.asia:35455/itv/9099000002000032344.m3u8?cdn=wasusyt
求索生活,http://nmmp.asia:35455/itv/9099000002000003382.m3u8?cdn=wasusyt
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
CHC高清电影,http://171.116.114.177:8004/udp/226.0.2.93:8004
CHC动作电影,http://171.116.114.177:8004/udp/226.0.2.94:8012
CHC家庭影院,http://171.116.114.177:8004/udp/226.0.2.240:9820
1905电影(亚洲),http://8.134.236.66:45678/simon/dl/1905.php?id=1905a
1905电影(国际),http://8.134.236.66:45678/simon/dl/1905.php?id=1905b
少儿频道,#genre#
猫和老鼠,http://182.40.120.180/test-txdwk.flv.huya.com/src/1423782038-1423782038-6115097289842229248-2847687532-10057-A-0-1.m3u8
